Designator,Footprint,Quantity,Comment,LCSC Part #,,
"C1, C10",402,2,1uF,,,C52923
"C11, C12, C17, C18, C2, C3, C4, C5, C6, C7, C8, C9",402,12,0.1uF,,,C1525
"C13, C14",402,2,10uF,,,C15525
"C15, C16",402,2,33pF,,,C1562
D1,603,1,LED,,,C2290
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,,,C165948
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,,,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,,,
JP1,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,1,Jumper_2_Small_Bridged,,,
"R1, R2",402,2,5.1K,,,C25905
R10,402,1,220,,,C25091
"R11, R6, R8",402,3,10K,,,C25744
"R3, R4",402,2,27,,,C25100
"R5, R7",402,2,1K,,,C11702
"SW1, SW2, SW3",SW_Push_SPST_NO_Alps_SKRK,3,SW_Push,,,C115357
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,,,C2040
U2,SOT-23,1,MCP1700x-330xxTT,,,C2132
U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVZPIQ TR,,,C2456208
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,,,C481407
